path	size	sha256	head16
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\018d31e6ac67876a6b2631aabd2fc8d2	8599	b9a433e963f8480751d0203103ba1234f2fafb9849f168d161b01dda41bf9650	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01a545ee0d927d49106c936a704d524b	14548	505dd704bbc9317a09c787eb9f96278d0989f5793e7fae7bc78af9e2e49e3195	52425848020000005900000068747470
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01abbb63312b3fec3adef89263959cd7	262987	ff77832508672f3b80dba99deca59542bbb63e2089ca5aef125eedf83477cd6b	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01bc37997753e9e1fa9121d121c8d549	227942	1be57b015334bf3a20183119568eca2df2f55beab28d13b7d6dd74269d8489f8	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01bd1752ccea718f548d817ab58a64ee	10073	92e51d78a455e199b412fd46e27c9b76dc5d739977da1e6e7126062d3c641931	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01ee0e8758f60c00ff188a66b6e16f71	19012	d5170111a9baaf13e07b2ce5b31a4eedbdb215ac8bb913702272dc5892b37563	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\01\01f13378f2d8670ab446b3a59f07f774	171605	085534c772d14e455309c16474249d61fb918c922dc819593f965c76a26b0e47	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\021ea877829b15723b0d62a4e30b7a3d	142383	976ab8598490471550b12f89481f1dbe518e7bb3fb3cdc7f93ae1a79384d5a77	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\0228de9c86bb5e1f55dcb91abdefbeb1	215526	0ae05bd83b45c7d4df7a700c77bec466d67c8cf1fe5c9080500e9f3662deae81	52425848020000000000000000c80000
C:\Users\EPIK\AppData\Local\Roblox\rbx-storage\02\022d3fbe87c23ceaa953d71121500039	47836	f2a52b69bef6d6681076c503a86b2473b51056ad4c02e018f5c90e1c0a744362	52425848020000000000000000c80000
